"","Invoice.Item.Number","Date","Store.Number","Store.Name","Address","City","Zip.Code","Store.Location","County.Number","County","Category","Category.Name","Vendor.Number","Vendor.Name","Item.Number","Item.Description","Pack","Bottle.Volume..ml.","State.Bottle.Cost","State.Bottle.Retail","Bottles.Sold","Sale..Dolars.","Volume.Sold..Liters.","Volume.Sold..Gallons."
"832","S05136600189","2012-04-19T00:00:00.000",4129,"Cyclone Liquors","626 LINCOLN WAY","AMES",50010,"626 LINCOLN WAY
AMES 50010
(-93.618911, 42.022854)",85,"Story",1081305,"APPLE SCHNAPPS",65,"Jim Beam Brands",82600,"Dekuyper Sour Apple Pucker Pet",6,1750,11.02,16.53,2,33.06,3.5,0.92460218325
"833","S10788400108","2013-02-26T00:00:00.000",4509,"A J'S LIQUOR II","2515 CHAMBERLAIN","AMES",50010,"2515 CHAMBERLAIN
AMES 50010
(-93.650965, 42.02146)",85,"Story",1032200,"IMPORTED VODKA - MISC",85,"Brown-Forman Corporation",34138,"Chambord Flavored Vodka",6,750,12.5,18.75,2,37.5,1.5,0.39625807853
"834","S10839000189","2013-02-27T00:00:00.000",2501,"Hy-vee  #2 / Ames","640 LINCOLNWAY","AMES",50010,"640 LINCOLNWAY
AMES 50010
(-93.619455, 42.022848)",85,"Story",1022100,"TEQUILA",300,"Mccormick Distilling Company",89875,"Tarantula Reposado",12,750,9.33,13.99,2,27.98,1.5,0.39625807853
"835","S24729400092","2015-03-25T00:00:00.000",4129,"Cyclone Liquors","626 LINCOLN WAY","AMES",50010,"626 LINCOLN WAY
AMES 50010
(-93.618911, 42.022854)",85,"Story",1031200,"VODKA FLAVORED",380,"Phillips Beverage Company",40621,"UV Chocolate Cake Mini",6,500,4.89,7.34,1,7.34,0.5,0.13208602617
"836","S10154400140","2013-01-22T00:00:00.000",4509,"A J'S LIQUOR II","2515 CHAMBERLAIN","AMES",50010,"2515 CHAMBERLAIN
AMES 50010
(-93.650965, 42.02146)",85,"Story",1062300,"FLAVORED RUM",65,"Jim Beam Brands",44536,"Cruzan Orange",12,750,6.82,10.24,4,40.96,3,0.79251615707
"837","S18506000014","2014-04-23T00:00:00.000",3524,"Sam's Club 6568 / Ames","305 AIRPORT RD","AMES",50010,"305 AIRPORT RD
AMES 50010
(-93.61365, 42.001123)",85,"Story",1022100,"TEQUILA",434,"Luxco-St Louis",89387,"Juarez Tequila Gold",12,1000,6.67,10,24,240,24,6.34012925659
"838","S25376000032","2015-04-29T00:00:00.000",3943,"Good and Quick Co","519 LINCOLNWAY","NEVADA",50201,"519 LINCOLNWAY
NEVADA 50201
(-93.45299, 42.022712)",85,"Story",1042100,"IMPORTED DRY GINS",260,"Diageo Americas",28866,"Tanqueray Gin",12,750,12.25,18.38,2,36.76,1.5,0.39625807853
"839","S25638000014","2015-05-13T00:00:00.000",4428,"Kum & Go #200 / Ames","4510 MORTENSEN RD","AMES",50014,"4510 MORTENSEN RD
AMES 50014
(-93.679758, 42.01214)",85,"Story",1052010,"IMPORTED GRAPE BRANDIES",420,"Moet Hennessy USA, Inc.",48105,"Hennessy VS",12,375,9.99,14.99,12,179.88,4.5,1.18877423561
"840","S22893600009","2014-12-10T00:00:00.000",4960,"AJ's Liquor III","2401 A CHAMBERLAIN ST","AMES",50010,"2401 A CHAMBERLAIN ST
AMES 50010
(-93.648525, 42.021452)",85,"Story",1081600,"WHISKEY LIQUEUR",421,"Sazerac Co., Inc.",64867,"Fireball Cinnamon Whiskey",12,1000,11.34,17.01,24,408.24,24,6.34012925659
"841","S25858900210","2015-05-27T00:00:00.000",2501,"Hy-vee  #2 / Ames","640 LINCOLNWAY","AMES",50010,"640 LINCOLNWAY
AMES 50010
(-93.619455, 42.022848)",85,"Story",1022100,"TEQUILA",461,"Campari(skyy)",87619,"Espolon Blanco",6,750,13.42,20.13,2,40.26,1.5,0.39625807853
"842","S15570000068","2013-11-13T00:00:00.000",4509,"A J'S LIQUOR II","2515 CHAMBERLAIN","AMES",50010,"2515 CHAMBERLAIN
AMES 50010
(-93.650965, 42.02146)",85,"Story",1031200,"VODKA FLAVORED",260,"Diageo Americas",41077,"Jeremiah Weed Sweet Tea",12,1000,10.5,15.75,7,110.25,7,1.8492043665
"843","S19940900009","2014-07-08T00:00:00.000",4675,"Kum & Go #113 / Ames","2801 E 13TH ST","AMES",50010,"2801 E 13TH ST
AMES 50010
(-93.575702, 42.034562)",85,"Story",1031080,"VODKA 80 PROOF",434,"Luxco-St Louis",36304,"Hawkeye Vodka",24,375,2.07,3.11,24,74.64,9,2.37754847122
"844","S14216200250","2013-08-28T00:00:00.000",2500,"Hy-Vee Food Store #1 / Ames","3800 W LINCOLN WAY","AMES",50010,"3800 W LINCOLN WAY
AMES 50010
(-93.715664, 42.023145)",85,"Story",1051100,"APRICOT BRANDIES",434,"Luxco-St Louis",54446,"Paramount Apricot Flavored Brandy",12,750,5.47,8.21,4,32.84,3,0.79251615707
"845","S10748100013","2013-02-21T00:00:00.000",4103,"Fareway Stores #093 / Ames","3619 STANGE RD","AMES",50010,"3619 STANGE RD
AMES 50010
(-93.645008, 42.057106)",85,"Story",1011100,"BLENDED WHISKIES",260,"Diageo Americas",25606,"Seagrams 7 Crown Bl Whiskey",12,750,6.53,9.79,12,117.48,9,2.37754847122
"846","S08265700023","2012-10-11T00:00:00.000",4004,"Wal-Mart 4256 / Ames","534 S DUFF AVE","AMES",50010,"534 S DUFF AVE
AMES 50010
(-93.610343, 42.017115)",85,"Story",1011100,"BLENDED WHISKIES",297,"Laird And Company",23828,"Five Star",6,1750,7.36,11.04,6,66.24,10.5,2.77380654976
"847","S11461700012","2013-04-04T00:00:00.000",3973,"Mmdg Spirits / Ames","126A WELCH AVE","AMES",50014,"126A WELCH AVE
AMES 50014
(-93.650139, 42.022405)",85,"Story",1081305,"APPLE SCHNAPPS",65,"Jim Beam Brands",82607,"Dekuyper Sour Apple",12,1000,7.62,11.43,5,57.15,5,1.32086026179
"848","S20964900066","2014-09-03T00:00:00.000",4004,"Wal-Mart 4256 / Ames","534 S DUFF AVE","AMES",50010,"534 S DUFF AVE
AMES 50010
(-93.610343, 42.017115)",85,"Story",1012100,"CANADIAN WHISKIES",65,"Jim Beam Brands",10628,"Canadian Club Whisky",6,1750,15.75,23.63,6,141.78,10.5,2.77380654976
