"","Invoice.Item.Number","Date","Store.Number","Store.Name","Address","City","Zip.Code","Store.Location","County.Number","County","Category","Category.Name","Vendor.Number","Vendor.Name","Item.Number","Item.Description","Pack","Bottle.Volume..ml.","State.Bottle.Cost","State.Bottle.Retail","Bottles.Sold","Sale..Dolars.","Volume.Sold..Liters.","Volume.Sold..Gallons."
"1","S27407400005","2015-08-19T00:00:00.000",2501,"Hy-vee  #2 / Ames","640 LINCOLNWAY","AMES",50010,"640 LINCOLNWAY
AMES 50010
(-93.619455, 42.022848)",85,"Story",1011300,"TENNESSEE WHISKIES",85,"Brown-Forman Corporation",26821,"Jack Daniels Old #7 Black Lbl Mini",12,500,9.06,13.59,1,13.59,0.5,0.13208602617
"2","S07743200026","2012-09-17T00:00:00.000",3524,"Sam's Club 6568 / Ames","305 AIRPORT RD","AMES",50010,"305 AIRPORT RD
AMES 50010
(-93.61365, 42.001123)",85,"Story",1011500,"STRAIGHT RYE WHISKIES",255,"Wilson Daniels Ltd.",27102,"Templeton Rye",6,750,18.08,27.13,6,162.78,4.5,1.18877423561
"3","S03538200068","2012-01-12T00:00:00.000",4509,"A J'S LIQUOR II","2515 CHAMBERLAIN","AMES",50010,"2515 CHAMBERLAIN
AMES 50010
(-93.650965, 42.02146)",85,"Story",1081340,"ROOT BEER SCHNAPPS",380,"Phillips Beverage Company",84617,"Phillips Root Beer Schnapps",12,1000,4.89,7.33,6,43.98,6,1.58503231414
"4","S18598700064","2014-04-23T00:00:00.000",4987,"Almost Always Open","419 LINCOLN WAY","AMES",50010,"419 LINCOLN WAY
AMES 50010
(-93.616517, 42.022916)",85,"Story",1081200,"CREAM LIQUEURS",260,"Diageo Americas",68036,"Bailey's Original Irish Cream",12,750,13,19.49,3,58.47,2.25,0.5943871178
"5","S29016200248","2015-11-11T00:00:00.000",2500,"Hy-Vee Food Store #1 / Ames","3800 W LINCOLN WAY","AMES",50010,"3800 W LINCOLN WAY
AMES 50010
(-93.715664, 42.023145)",85,"Story",1081900,"MISC. AMERICAN CORDIALS & LIQUEURS",434,"Luxco-St Louis",76526,"Paramount Melon Liqueur",12,750,5.3,7.95,1,7.95,0.75,0.19812903926
"6","S03818000099","2012-01-31T00:00:00.000",4509,"A J'S LIQUOR II","2515 CHAMBERLAIN","AMES",50010,"2515 CHAMBERLAIN
AMES 50010
(-93.650965, 42.02146)",85,"Story",1032200,"IMPORTED VODKA - MISC",65,"Jim Beam Brands",35770,"Pinnacle Cherry Whipped",12,750,7.87,11.81,3,35.43,2.25,0.5943871178
"7","S04740800065","2012-03-27T00:00:00.000",4509,"A J'S LIQUOR II","2515 CHAMBERLAIN","AMES",50010,"2515 CHAMBERLAIN
AMES 50010
(-93.650965, 42.02146)",85,"Story",1041100,"AMERICAN DRY GINS",434,"Luxco-St Louis",31657,"Paramount Gin",12,1000,4.3,6.44,12,77.28,12,3.17006462829
"8","S15136000013","2013-10-15T00:00:00.000",4081,"Harlan's Food Mart","306 WASHINGTON","STORY CITY",50248,"306 WASHINGTON
STORY CITY 50248
(-93.600106, 42.185825)",85,"Story",1031080,"VODKA 80 PROOF",297,"Laird And Company",35914,"Five O'clock Vodka",24,375,1.93,2.89,24,69.36,9,2.37754847122
"9","S23726900055","2015-01-28T00:00:00.000",2500,"Hy-Vee Food Store #1 / Ames","3800 W LINCOLN WAY","AMES",50010,"3800 W LINCOLN WAY
AMES 50010
(-93.715664, 42.023145)",85,"Story",1011100,"BLENDED WHISKIES",492,"Western Spirits Beverage Co. LLC",27433,"Bird Dog Peach Flavored Whiskey",6,750,10,15,6,90,4.5,1.18877423561
"10","S22595800125","2014-11-24T00:00:00.000",4129,"Cyclone Liquors","626 LINCOLN WAY","AMES",50010,"626 LINCOLN WAY
AMES 50010
(-93.618911, 42.022854)",85,"Story",1081390,"IMPORTED SCHNAPPS",260,"Diageo Americas",65066,"Goldschlager Cinnamon Schnapps",12,750,13,19.5,2,39,1.5,0.39625807853
"11","S16743900113","2014-01-08T00:00:00.000",4129,"Cyclone Liquors","626 LINCOLN WAY","AMES",50010,"626 LINCOLN WAY
AMES 50010
(-93.618911, 42.022854)",85,"Story",1051010,"AMERICAN GRAPE BRANDIES",205,"E AND J GALLO WINERY",52593,"E & J Vs Brandy",24,200,1.85,2.78,3,8.34,0.6,0.15850323141
"12","S26636600094","2015-07-08T00:00:00.000",2500,"Hy-Vee Food Store #1 / Ames","3800 W LINCOLN WAY","AMES",50010,"3800 W LINCOLN WAY
AMES 50010
(-93.715664, 42.023145)",85,"Story",1031080,"VODKA 80 PROOF",297,"Laird And Company",35917,"Five O'clock Vodka",12,1000,4.17,6.26,12,75.12,12,3.17006462829
"13","S13302000019","2013-07-10T00:00:00.000",3943,"Good and Quick Co","519 LINCOLNWAY","NEVADA",50201,"519 LINCOLNWAY
NEVADA 50201
(-93.45299, 42.022712)",85,"Story",1011300,"TENNESSEE WHISKIES",85,"Brown-Forman Corporation",26823,"Jack Daniels Old #7 Black Lbl",48,200,3.93,5.9,6,35.4,1.2,0.31700646282
"14","S24352500001","2015-03-04T00:00:00.000",4437,"Kum & Go #215  Ames","4506 LINCOLN WAY","AMES",50010,"4506 LINCOLN WAY
AMES 50010
(-93.678822, 42.022905)",85,"Story",1032080,"IMPORTED VODKA",370,"Pernod Ricard USA/Austin Nichols",34006,"Absolut Swedish Vodka 80 Prf",12,750,11.49,17.24,12,206.88,9,2.37754847122
"15","S07278800032","2012-08-23T00:00:00.000",4004,"Wal-Mart 4256 / Ames","534 S DUFF AVE","AMES",50010,"534 S DUFF AVE
AMES 50010
(-93.610343, 42.017115)",85,"Story",1052010,"IMPORTED GRAPE BRANDIES",420,"Moet Hennessy USA, Inc.",48106,"Hennessy Vs Cognac",12,750,17.25,25.88,12,310.56,9,2.37754847122
"16","S11772100030","2013-04-22T00:00:00.000",4105,"Fareway Stores #426 / Nevada","1505 SOUTH B AVE","NEVADA",50201,"1505 SOUTH B AVE
NEVADA 50201
(-93.439899, 42.009797)",85,"Story",1081365,"TROPICAL FRUIT SCHNAPPS",421,"Sazerac Co., Inc.",83906,"Maui Blue Hawaiian Schnapps",12,750,3.67,5.5,2,11,1.5,0.39625807853
"17","S14492800066","2013-09-11T00:00:00.000",2501,"Hy-vee  #2 / Ames","640 LINCOLNWAY","AMES",50010,"640 LINCOLNWAY
AMES 50010
(-93.619455, 42.022848)",85,"Story",1081330,"PEACH SCHNAPPS",65,"Jim Beam Brands",82849,"Dekuyper Peachtree Schnapps Pet",6,1750,11.54,17.31,6,103.86,10.5,2.77380654976
"18","S24364400007","2015-03-04T00:00:00.000",2609,"Hy-Vee Drugstore #2 / Ames","500 MAIN ST","AMES",50010,"500 MAIN ST
AMES 50010
(-93.618248, 42.024995)",85,"Story",1012200,"SCOTCH WHISKIES",55,"Sazerac North America",8828,"Lauder's",6,1750,11.18,16.77,6,100.62,10.5,2.77380654976
"19","S12643000016","2013-06-06T00:00:00.000",3973,"Mmdg Spirits / Ames","126A WELCH AVE","AMES",50014,"126A WELCH AVE
AMES 50014
(-93.650139, 42.022405)",85,"Story",1081380,"MISCELLANEOUS SCHNAPPS",65,"Jim Beam Brands",82627,"Dekuyper Cherry Pucker",12,1000,7.62,11.43,4,45.72,4,1.05668820943
"20","S16371500018","2013-12-18T00:00:00.000",2501,"Hy-vee  #2 / Ames","640 LINCOLNWAY","AMES",50010,"640 LINCOLNWAY
AMES 50010
(-93.619455, 42.022848)",85,"Story",1081900,"MISC. AMERICAN CORDIALS & LIQUEURS",125,"Cedar Ridge Vineyards,LLC",74772,"Howdys Apple Pie",6,750,8.89,13.33,6,79.98,4.5,1.18877423561
"21","S15843300135","2013-11-20T00:00:00.000",2500,"Hy-Vee Food Store #1 / Ames","3800 W LINCOLN WAY","AMES",50010,"3800 W LINCOLN WAY
AMES 50010
(-93.715664, 42.023145)",85,"Story",1041100,"AMERICAN DRY GINS",297,"Laird And Company",29993,"Five O'clock Gin",48,200,1.2,1.79,3,5.37,0.6,0.15850323141
"22","S08421500016","2012-10-18T00:00:00.000",3973,"Mmdg Spirits / Ames","126A WELCH AVE","AMES",50014,"126A WELCH AVE
AMES 50014
(-93.650139, 42.022405)",85,"Story",1031080,"VODKA 80 PROOF",434,"Luxco-St Louis",36307,"Hawkeye Vodka",12,1000,3.94,5.91,108,638.28,108,28.53058165468
"23","S09331800069","2012-12-05T00:00:00.000",2501,"Hy-vee  #2 / Ames","640 LINCOLNWAY","AMES",50010,"640 LINCOLNWAY
AMES 50010
(-93.619455, 42.022848)",85,"Story",1062200,"PUERTO RICO & VIRGIN ISLANDS RUM",451,"Serralles USA",43426,"Don Q Cristal Rum",12,750,6.5,9.74,12,116.88,9,2.37754847122
"24","S14070400013","2013-08-22T00:00:00.000",4105,"Fareway Stores #426 / Nevada","1505 SOUTH B AVE","NEVADA",50201,"1505 SOUTH B AVE
NEVADA 50201
(-93.439899, 42.009797)",85,"Story",1081010,"AMERICAN AMARETTO",434,"Luxco-St Louis",76486,"Paramount Amaretto",12,750,3.37,5.06,12,60.72,9,2.37754847122
"25","S07279200001","2012-08-23T00:00:00.000",4004,"Wal-Mart 4256 / Ames","534 S DUFF AVE","AMES",50010,"534 S DUFF AVE
AMES 50010
(-93.610343, 42.017115)",85,"Story",1081200,"CREAM LIQUEURS",305,"MHW Ltd",73050,"Rumchata",6,750,12.5,18.75,60,1125,45,11.88774235611
"26","S18581100110","2014-04-23T00:00:00.000",4129,"Cyclone Liquors","626 LINCOLN WAY","AMES",50010,"626 LINCOLN WAY
AMES 50010
(-93.618911, 42.022854)",85,"Story",1082900,"MISC. IMPORTED CORDIALS & LIQUEURS",461,"Campari(skyy)",64147,"Aperol",6,750,12.25,18.38,3,55.14,2.25,0.5943871178
"27","S07435500036","2012-10-26T00:00:00.000",4340,"Dahl's Foods / Ames","3121 GRAND AVE","AMES",50010,"3121 GRAND AVE
AMES 50010
(-93.620697, 42.053354)",85,"Story",1081200,"CREAM LIQUEURS",305,"MHW Ltd",73050,"Rumchata",6,750,12.5,18.75,30,562.5,22.5,5.94387117805
"28","S24364400004","2015-03-04T00:00:00.000",2609,"Hy-Vee Drugstore #2 / Ames","500 MAIN ST","AMES",50010,"500 MAIN ST
AMES 50010
(-93.618248, 42.024995)",85,"Story",1012100,"CANADIAN WHISKIES",115,"Constellation Wine Company, Inc.",10550,"Black Velvet Toasted Caramel",12,750,6.75,10.13,12,121.56,9,2.37754847122
"29","S09965100091","2013-01-09T00:00:00.000",2501,"Hy-vee  #2 / Ames","640 LINCOLNWAY","AMES",50010,"640 LINCOLNWAY
AMES 50010
(-93.619455, 42.022848)",85,"Story",1041100,"AMERICAN DRY GINS",370,"Pernod Ricard USA/Austin Nichols",32233,"Seagrams Extra Dry Gin",48,200,2,2.99,6,17.94,1.2,0.31700646282
"30","S24119400005","2015-02-18T00:00:00.000",4129,"Cyclone Liquors","626 LINCOLN WAY","AMES",50010,"626 LINCOLN WAY
AMES 50010
(-93.618911, 42.022854)",85,"Story",1012100,"CANADIAN WHISKIES",115,"Constellation Wine Company, Inc.",11788,"Black Velvet",6,1750,9.7,14.93,18,268.74,31.5,8.32141964928
"31","S11723800068","2013-04-18T00:00:00.000",4129,"Cyclone Liquors","626 LINCOLN WAY","AMES",50010,"626 LINCOLN WAY
AMES 50010
(-93.618911, 42.022854)",85,"Story",1042100,"IMPORTED DRY GINS",260,"Diageo Americas",28890,"Tanqueray Rangpur Gin",12,750,12.5,18.74,2,37.48,1.5,0.39625807853
"32","S05372700020","2012-05-03T00:00:00.000",4340,"Dahl's Foods / Ames","3121 GRAND AVE","AMES",50010,"3121 GRAND AVE
AMES 50010
(-93.620697, 42.053354)",85,"Story",1062200,"PUERTO RICO & VIRGIN ISLANDS RUM",434,"Luxco-St Louis",45248,"Paramount Gold Rum",6,1750,7.58,11.37,6,68.22,10.5,2.77380654976
"33","S28842000027","2015-11-04T00:00:00.000",4004,"Wal-Mart 4256 / Ames","534 S DUFF AVE","AMES",50010,"534 S DUFF AVE
AMES 50010
(-93.610343, 42.017115)",85,"Story",1011300,"TENNESSEE WHISKIES",85,"Brown-Forman Corporation",26828,"Jack Daniels Old #7 Black Lbl",6,1750,29.67,44.51,6,267.06,10.5,2.77380654976
"34","S05636300009","2012-05-22T00:00:00.000",4509,"A J'S LIQUOR II","2515 CHAMBERLAIN","AMES",50010,"2515 CHAMBERLAIN
AMES 50010
(-93.650965, 42.02146)",85,"Story",1032200,"IMPORTED VODKA - MISC",65,"Jim Beam Brands",35626,"Pinnacle Whipped",12,750,7.87,11.81,12,141.72,9,2.37754847122
"35","S22194800105","2014-11-05T00:00:00.000",2500,"Hy-Vee Food Store #1 / Ames","3800 W LINCOLN WAY","AMES",50010,"3800 W LINCOLN WAY
AMES 50010
(-93.715664, 42.023145)",85,"Story",1031080,"VODKA 80 PROOF",260,"Diageo Americas",38008,"Smirnoff Vodka 80 Prf Pet",6,1750,14.75,22.13,12,265.56,21,5.54761309952
"36","S03589200113","2012-01-17T00:00:00.000",4509,"A J'S LIQUOR II","2515 CHAMBERLAIN","AMES",50010,"2515 CHAMBERLAIN
AMES 50010
(-93.650965, 42.02146)",85,"Story",1081030,"COFFEE LIQUEURS",370,"Pernod Ricard USA/Austin Nichols",67526,"Kahlua Coffee Liqueur",12,750,11.61,17.42,4,69.68,3,0.79251615707
"37","S16459200017","2013-12-23T00:00:00.000",4251,"Aj's Liquor / Ames","4518 MORTENSON RD STE 109","AMES",50014,"4518 MORTENSON RD STE 109
AMES 50014
(NA, NA)",85,"Story",1012100,"CANADIAN WHISKIES",260,"Diageo Americas",11297,"Crown Royal Canadian Whisky",12,1000,18.25,27.37,5,136.85,5,1.32086026179
"38","S28319900011","2015-10-06T00:00:00.000",4102,"Fareway Stores #386 / Ames","619 BURNETT AVE","AMES",50010,"619 BURNETT AVE
AMES 50010
(-93.615428, 42.027426)",85,"Story",1012100,"CANADIAN WHISKIES",65,"Jim Beam Brands",15248,"Windsor Canadian Pet",6,1750,9.18,13.77,3,41.31,5.25,1.38690327488
"39","S10350300013","2013-01-31T00:00:00.000",3973,"Mmdg Spirits / Ames","126A WELCH AVE","AMES",50014,"126A WELCH AVE
AMES 50014
(-93.650139, 42.022405)",85,"Story",1062300,"FLAVORED RUM",259,"Heaven Hill Brands",43077,"Admiral Nelson Coconut Rum",12,1000,7.27,10.91,3,32.73,3,0.79251615707
"40","S17377500062","2014-02-12T00:00:00.000",2500,"Hy-Vee Food Store #1 / Ames","3800 W LINCOLN WAY","AMES",50010,"3800 W LINCOLN WAY
AMES 50010
(-93.715664, 42.023145)",85,"Story",1031100,"100 PROOF VODKA",300,"Mccormick Distilling Company",36886,"Mccormick Vodka",12,750,3.31,4.97,12,59.64,9,2.37754847122
"41","S16490100234","2013-12-24T00:00:00.000",2501,"Hy-vee  #2 / Ames","640 LINCOLNWAY","AMES",50010,"640 LINCOLNWAY
AMES 50010
(-93.619455, 42.022848)",85,"Story",1011300,"TENNESSEE WHISKIES",260,"Diageo Americas",27037,"George Dickel Rye",12,750,13.01,19.52,2,39.04,1.5,0.39625807853
"42","S24337700019","2015-03-03T00:00:00.000",4103,"Fareway Stores #093 / Ames","3619 STANGE RD","AMES",50010,"3619 STANGE RD
AMES 50010
(-93.645008, 42.057106)",85,"Story",1041100,"AMERICAN DRY GINS",434,"Luxco-St Louis",31658,"Paramount Gin",6,1750,7.11,10.67,6,64.02,10.5,2.77380654976
"43","S14150300051","2013-08-27T00:00:00.000",4102,"Fareway Stores #386 / Ames","619 BURNETT AVE","AMES",50010,"619 BURNETT AVE
AMES 50010
(-93.615428, 42.027426)",85,"Story",1081240,"GREEN CREME DE MENTHE",434,"Luxco-St Louis",79336,"Paramount Creme De Menthe/green",12,750,4.65,6.97,2,13.94,1.5,0.39625807853
"44","S22091900029","2014-10-29T00:00:00.000",2609,"Hy-Vee Drugstore #2 / Ames","500 MAIN ST","AMES",50010,"500 MAIN ST
AMES 50010
(-93.618248, 42.024995)",85,"Story",1011100,"BLENDED WHISKIES",260,"Diageo Americas",25604,"Seagrams 7 Crown Bl Whiskey",24,375,3.5,5.25,4,21,1.5,0.39625807853
"45","S03538200019","2012-01-12T00:00:00.000",4509,"A J'S LIQUOR II","2515 CHAMBERLAIN","AMES",50010,"2515 CHAMBERLAIN
AMES 50010
(-93.650965, 42.02146)",85,"Story",1031080,"VODKA 80 PROOF",260,"Diageo Americas",37996,"Smirnoff Vodka 80 Prf",12,750,7.59,11.56,12,138.72,9,2.37754847122
"46","S23214800032","2014-12-27T00:00:00.000",4102,"Fareway Stores #386 / Ames","619 BURNETT AVE","AMES",50010,"619 BURNETT AVE
AMES 50010
(-93.615428, 42.027426)",85,"Story",1011500,"STRAIGHT RYE WHISKIES",255,"Wilson Daniels Ltd.",27102,"Templeton Rye",6,750,18.09,27.14,6,162.84,4.5,1.18877423561
"47","S23875100016","2015-02-04T00:00:00.000",3970,"The Liquor Cabinet, Inc.","835 6 ST, STE 1","NEVADA",50201,"835 6 ST, STE 1
NEVADA 50201
(-93.452277, 42.018948)",85,"Story",1051010,"AMERICAN GRAPE BRANDIES",205,"E AND J GALLO WINERY",52596,"E & J Vs",12,750,5.92,8.88,2,17.76,1.5,0.39625807853
"48","S18092700134","2014-03-26T00:00:00.000",2500,"Hy-Vee Food Store #1 / Ames","3800 W LINCOLN WAY","AMES",50010,"3800 W LINCOLN WAY
AMES 50010
(-93.715664, 42.023145)",85,"Story",1031080,"VODKA 80 PROOF",260,"Diageo Americas",37993,"Smirnoff Vodka 80 Prf",48,200,2.75,4.13,2,8.26,0.4,0.10566882094
"49","S08880000018","2012-11-13T00:00:00.000",4437,"Kum & Go #215  Ames","4506 LINCOLN WAY","AMES",50010,"4506 LINCOLN WAY
AMES 50010
(-93.678822, 42.022905)",85,"Story",1012100,"CANADIAN WHISKIES",260,"Diageo Americas",11290,"Crown Royal Canadian Whisky Mini",10,300,6.6,9.9,1,9.9,0.3,0.0792516157
"50","S21130800014","2014-09-09T00:00:00.000",4103,"Fareway Stores #093 / Ames","3619 STANGE RD","AMES",50010,"3619 STANGE RD
AMES 50010
(-93.645008, 42.057106)",85,"Story",1071100,"AMERICAN COCKTAILS",260,"Diageo Americas",58801,"Captain Morgan Long Island Iced Tea",6,1750,11,16.5,6,99,10.5,2.77380654976
"51","S15192500016","2013-10-16T00:00:00.000",4105,"Fareway Stores #426 / Nevada","1505 SOUTH B AVE","NEVADA",50201,"1505 SOUTH B AVE
NEVADA 50201
(-93.439899, 42.009797)",85,"Story",1012210,"SINGLE MALT SCOTCH",65,"Jim Beam Brands",5596,"Mcclelland Highland",12,750,13.01,19.51,1,19.51,0.75,0.19812903926
"52","S19107000004","2014-05-21T00:00:00.000",3943,"Good and Quick Co","519 LINCOLNWAY","NEVADA",50201,"519 LINCOLNWAY
NEVADA 50201
(-93.45299, 42.022712)",85,"Story",1031080,"VODKA 80 PROOF",297,"Laird And Company",35918,"Five O'clock Vodka",6,1750,7.2,10.79,6,64.74,10.5,2.77380654976
"53","S24353300014","2015-03-04T00:00:00.000",4356,"Kum & Go #396 / Nevada","136 LINCOLN HWY","NEVADA",50201,"136 LINCOLN HWY
NEVADA 50201
(-93.458003, 42.022725)",85,"Story",1012100,"CANADIAN WHISKIES",260,"Diageo Americas",11294,"Crown Royal Canadian Whisky",24,375,7.75,11.63,6,69.78,2.25,0.5943871178
"54","S18750800007","2014-05-07T00:00:00.000",3524,"Sam's Club 6568 / Ames","305 AIRPORT RD","AMES",50010,"305 AIRPORT RD
AMES 50010
(-93.61365, 42.001123)",85,"Story",1062200,"PUERTO RICO & VIRGIN ISLANDS RUM",434,"Luxco-St Louis",45277,"Paramount White Rum",12,1000,4.34,6.51,228,1484.28,228,60.23122793765
"55","S13785200174","2013-08-07T00:00:00.000",2501,"Hy-vee  #2 / Ames","640 LINCOLNWAY","AMES",50010,"640 LINCOLNWAY
AMES 50010
(-93.619455, 42.022848)",85,"Story",1031080,"VODKA 80 PROOF",55,"Sazerac North America",37934,"Skol Vodka",24,375,1.74,2.6,4,10.4,1.5,0.39625807853
"56","S04500700032","2012-03-12T00:00:00.000",4105,"Fareway Stores #426 / Nevada","1505 SOUTH B AVE","NEVADA",50201,"1505 SOUTH B AVE
NEVADA 50201
(-93.439899, 42.009797)",85,"Story",1062300,"FLAVORED RUM",35,"Bacardi U.S.A., Inc.",43096,"Bacardi Razz",12,750,8.33,12.49,1,12.49,0.75,0.19812903926
"57","S25386000007","2015-04-29T00:00:00.000",4105,"Fareway Stores #426 / Nevada","1505 SOUTH B AVE","NEVADA",50201,"1505 SOUTH B AVE
NEVADA 50201
(-93.439899, 42.009797)",85,"Story",1062200,"PUERTO RICO & VIRGIN ISLANDS RUM",434,"Luxco-St Louis",45248,"Paramount Gold Rum",6,1750,7.84,11.76,6,70.56,10.5,2.77380654976
"58","S24605300012","2015-03-18T00:00:00.000",4428,"Kum & Go #200 / Ames","4510 MORTENSEN RD","AMES",50014,"4510 MORTENSEN RD
AMES 50014
(-93.679758, 42.01214)",85,"Story",1012100,"CANADIAN WHISKIES",115,"Constellation Wine Company, Inc.",11771,"Black Velvet Mini",10,600,6.8,10.2,4,40.8,2.4,0.63401292565
"59","S07763500018","2012-09-17T00:00:00.000",4105,"Fareway Stores #426 / Nevada","1505 SOUTH B AVE","NEVADA",50201,"1505 SOUTH B AVE
NEVADA 50201
(-93.439899, 42.009797)",85,"Story",1081390,"IMPORTED SCHNAPPS",421,"Sazerac Co., Inc.",69636,"Dr. Mcgillicuddy's Cherry Schnapps",12,750,8.66,12.99,2,25.98,1.5,0.39625807853
"60","S05814400039","2012-05-31T00:00:00.000",4251,"Aj's Liquor / Ames","4518 MORTENSON RD STE 109","AMES",50014,"4518 MORTENSON RD STE 109
AMES 50014
(NA, NA)",85,"Story",1062300,"FLAVORED RUM",35,"Bacardi U.S.A., Inc.",43096,"Bacardi Razz",12,750,8.33,12.49,4,49.96,3,0.79251615707
"61","S09778000005","2012-12-28T00:00:00.000",4081,"Harlan's Food Mart","306 WASHINGTON","STORY CITY",50248,"306 WASHINGTON
STORY CITY 50248
(-93.600106, 42.185825)",85,"Story",1031080,"VODKA 80 PROOF",434,"Luxco-St Louis",36306,"Hawkeye Vodka",12,750,3.25,4.88,12,58.56,9,2.37754847122
"62","S16097200154","2013-12-04T00:00:00.000",4129,"Cyclone Liquors","626 LINCOLN WAY","AMES",50010,"626 LINCOLN WAY
AMES 50010
(-93.618911, 42.022854)",85,"Story",1082900,"MISC. IMPORTED CORDIALS & LIQUEURS",65,"Jim Beam Brands",64626,"Courvoisier Gold",12,750,14.7,22.05,1,22.05,0.75,0.19812903926
"63","S15750900033","2013-11-20T00:00:00.000",3524,"Sam's Club 6568 / Ames","305 AIRPORT RD","AMES",50010,"305 AIRPORT RD
AMES 50010
(-93.61365, 42.001123)",85,"Story",1031200,"VODKA FLAVORED",380,"Phillips Beverage Company",41694,"Uv Blue (raspberry) Vodka",12,1000,7.5,11.25,24,270,24,6.34012925659
"64","S23747700018","2015-01-28T00:00:00.000",4105,"Fareway Stores #426 / Nevada","1505 SOUTH B AVE","NEVADA",50201,"1505 SOUTH B AVE
NEVADA 50201
(-93.439899, 42.009797)",85,"Story",1081900,"MISC. AMERICAN CORDIALS & LIQUEURS",322,"Prestige Wine and Spirits Group",75211,"Kinky Liqueur",12,750,10,15,1,15,0.75,0.19812903926
"65","S21671100018","2014-10-08T00:00:00.000",3970,"The Liquor Cabinet, Inc.","835 6 ST, STE 1","NEVADA",50201,"835 6 ST, STE 1
NEVADA 50201
(-93.452277, 42.018948)",85,"Story",1062300,"FLAVORED RUM",35,"Bacardi U.S.A., Inc.",43138,"Bacardi Limon",6,1750,14.5,22.5,2,45,3.5,0.92460218325
"66","S04049400023","2012-02-13T00:00:00.000",3866,"Target Store T-1170 / Ames","320 S DUFF","AMES",50010,"320 S DUFF
AMES 50010
(-93.610363, 42.019876)",85,"Story",1081900,"MISC. AMERICAN CORDIALS & LIQUEURS",322,"Prestige Wine and Spirits Group",75210,"Kinky Liqueur",6,750,10,15,6,90,4.5,1.18877423561
"67","S05869400064","2012-06-04T00:00:00.000",3943,"Good and Quick Co","519 LINCOLNWAY","NEVADA",50201,"519 LINCOLNWAY
NEVADA 50201
(-93.45299, 42.022712)",85,"Story",1081340,"ROOT BEER SCHNAPPS",65,"Jim Beam Brands",82826,"Dekuyper Ragin' Root Beer Schnapps",12,750,5.3,8.45,2,16.9,1.5,0.39625807853
"68","S07197500008","2012-08-21T00:00:00.000",4674,"Kum & Go #227 / Ames","2108 ISSAC NEWTON DR","AMES",50010,"2108 ISSAC NEWTON DR
AMES 50010
(-93.585947, 42.009586)",85,"Story",1031080,"VODKA 80 PROOF",260,"Diageo Americas",37994,"Smirnoff Vodka 80 Prf",24,375,4.5,6.75,24,162,9,2.37754847122
"69","S24833600081","2015-04-01T00:00:00.000",2501,"Hy-vee  #2 / Ames","640 LINCOLNWAY","AMES",50010,"640 LINCOLNWAY
AMES 50010
(-93.619455, 42.022848)",85,"Story",1041100,"AMERICAN DRY GINS",300,"Mccormick Distilling Company",31208,"McCormick Gin Pet",6,1750,7.3,10.95,6,65.7,10.5,2.77380654976
"70","S08400800172","2012-10-17T00:00:00.000",2501,"Hy-vee  #2 / Ames","640 LINCOLNWAY","AMES",50010,"640 LINCOLNWAY
AMES 50010
(-93.619455, 42.022848)",85,"Story",1022100,"TEQUILA",410,"The Patron Spirits Company",88291,"Patron Tequila Silver Mini",10,300,20.3,30.45,1,30.45,0.3,0.0792516157
"71","S18214000175","2014-04-02T00:00:00.000",2500,"Hy-Vee Food Store #1 / Ames","3800 W LINCOLN WAY","AMES",50010,"3800 W LINCOLN WAY
AMES 50010
(-93.715664, 42.023145)",85,"Story",1082900,"MISC. IMPORTED CORDIALS & LIQUEURS",192,"Sidney Frank Importing Co.",65253,"Jagermeister Liqueur",48,200,3.51,5.27,6,31.62,1.2,0.31700646282
"72","S07490000044","2012-08-31T00:00:00.000",2500,"Hy-Vee Food Store #1 / Ames","3800 W LINCOLN WAY","AMES",50010,"3800 W LINCOLN WAY
AMES 50010
(-93.715664, 42.023145)",85,"Story",1031200,"VODKA FLAVORED",259,"Heaven Hill Brands",41316,"Burnetts Raspberry Vodka",12,750,3.88,6.15,12,73.8,9,2.37754847122
"73","S12484500036","2013-05-30T00:00:00.000",4509,"A J'S LIQUOR II","2515 CHAMBERLAIN","AMES",50010,"2515 CHAMBERLAIN
AMES 50010
(-93.650965, 42.02146)",85,"Story",1032200,"IMPORTED VODKA - MISC",115,"Constellation Wine Company, Inc.",33820,"Svedka Orange Cream Pop Mini",10,600,8.56,12.84,1,12.84,0.6,0.15850323141
"74","S23855700045","2015-02-04T00:00:00.000",2500,"Hy-Vee Food Store #1 / Ames","3800 W LINCOLN WAY","AMES",50010,"3800 W LINCOLN WAY
AMES 50010
(-93.715664, 42.023145)",85,"Story",1011100,"BLENDED WHISKIES",65,"Jim Beam Brands",25877,"Sunny Brook Blend Whiskey",12,1000,4.46,6.69,12,80.28,12,3.17006462829
"75","S20381500147","2014-07-30T00:00:00.000",2501,"Hy-vee  #2 / Ames","640 LINCOLNWAY","AMES",50010,"640 LINCOLNWAY
AMES 50010
(-93.619455, 42.022848)",85,"Story",1062310,"SPICED RUM",240,"WILLIAM GRANT AND SONS, INC.",45886,"Sailor Jerry Spiced Navy Rum",12,750,9.65,14.48,12,173.76,9,2.37754847122
